,Unnamed: 0,ideCadastro,codOrcamento,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email,comissoes,qtdPropostas,qtdPresencas,qtdAusencias
92,92,178909,3339.0,Titular,32,5830299,HELIO LEITE DA SILVA,HÉLIO LEITE,http://www.camara.gov.br/internet/deputado/bandep/178909.jpg,masculino,PA,DEM,403,4,3215-5403,dep.helioleite@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,38.0,10
93,93,178841,3074.0,Titular,165,5830797,JOSÉ CÍCERO SOARES DE ALMEIDA,CÍCERO ALMEIDA,http://www.camara.gov.br/internet/deputado/bandep/178841.jpg,masculino,AL,PODE,760,4,3215-5760,dep.ciceroalmeida@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,42.0,4
94,94,69871,3051.0,Titular,184,5830536,JOAO CARLOS BACELAR BATISTA,BACELAR,http://www.camara.gov.br/internet/deputado/bandep/69871.jpg,masculino,BA,PODE,381,3,3215-5381,dep.bacelar@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,16.0,2
95,95,160512,2778.0,Titular,290,5830465,AUREO LIDIO MOREIRA RIBEIRO,AUREO,http://www.camara.gov.br/internet/deputado/bandep/160512.jpg,masculino,RJ,SD,212,4,3215-5212,dep.aureo@camara.gov.br,"{u'titular': None, u'suplente': None}",52.0,40.0,8
96,96,171619,2975.0,Titular,237,5830442,MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,http://www.camara.gov.br/internet/deputado/bandep/171619.jpg,feminino,MG,PT,236,4,3215-5236,dep.margaridasalomao@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,28.0,20
97,97,141558,2435.0,Titular,84,5830393,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,http://www.camara.gov.br/internet/deputado/bandep/141558.jpg,masculino,MA,AVANTE,5,1,3215-5975,dep.waldirmaranhao@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,35.0,11
98,98,178867,3711.0,Titular,104,5830605,JOSE MARIA MACEDO JUNIOR,MACEDO,http://www.camara.gov.br/internet/deputado/bandep/178867.jpg,masculino,CE,PP,214,4,3215-5214,dep.macedo@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,26.0,21
99,99,178849,3398.0,Titular,42,5830728,HISSA NAGIB ABRAHAO FILHO,HISSA ABRAHÃO,http://www.camara.gov.br/internet/deputado/bandep/178849.jpg,masculino,AM,PDT,272,3,3215-5272,dep.hissaabrahao@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,24.0,23
100,100,178875,3038.0,Titular,416,5830373,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,masculino,GO,PODE,441,4,3215-5441,dep.alexandrebaldy@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,3.0,13
102,101,178903,3035.0,Titular,401,5830628,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,http://www.camara.gov.br/internet/deputado/bandep/178903.jpg,masculino,MT,PSB,374,3,3215-5374,dep.adiltonsachetti@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,22.0,25
103,102,164359,2927.0,Titular,421,5830350,WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg,masculino,GO,PR,645,4,3215-5645,dep.delegadowaldir@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,36.0,12
104,103,178916,3080.0,Titular,144,5830748,DANIEL PIRES COELHO,DANIEL COELHO,http://www.camara.gov.br/internet/deputado/bandep/178916.jpg,masculino,PE,PSDB,813,4,3215-5813,dep.danielcoelho@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,42.0,6
105,104,178846,2637.0,Titular,36,5830771,ALFREDO PEREIRA DO NASCIMENTO,ALFREDO NASCIMENTO,http://www.camara.gov.br/internet/deputado/bandep/178846.jpg,masculino,AM,PR,401,4,3215-5401,dep.alfredonascimento@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,42.0,5
106,105,141401,2547.0,Titular,400,5830791,CARLOS GOMES BEZERRA,CARLOS BEZERRA,http://www.camara.gov.br/internet/deputado/bandep/141401.jpg,masculino,MT,PMDB,815,4,3215-5815,dep.carlosbezerra@camara.gov.br,"{u'titular': None, u'suplente': None}",41.0,42.0,5
107,106,73463,3650.0,Titular,463,5830293,OSMAR JOSÉ SERRAGLIO,OSMAR SERRAGLIO,http://www.camara.gov.br/internet/deputado/bandep/73463.jpg,masculino,PR,PMDB,845,4,3215-5845,dep.osmarserraglio@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,12.0,3
108,107,141507,2384.0,Titular,480,5830542,MAURO MARIANI,MAURO MARIANI,http://www.camara.gov.br/internet/deputado/bandep/141507.jpg,masculino,SC,PMDB,925,4,3215-5925,dep.mauromariani@camara.gov.br,"{u'titular': None, u'suplente': None}",9.0,39.0,9
109,108,178936,3040.0,Titular,285,5830436,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,http://www.camara.gov.br/internet/deputado/bandep/178936.jpg,masculino,RJ,PR,587,3,3215-5587,dep.alexandrevalle@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,35.0,12
110,109,141411,2170.0,Titular,434,5830399,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,masculino,MS,PDT,654,4,3215-5654,dep.dagobertonogueira@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,1.0,4
111,110,178972,3037.0,Titular,331,5830591,ALEX SPINELLI MANENTE,ALEX MANENTE,http://www.camara.gov.br/internet/deputado/bandep/178972.jpg,masculino,SP,PPS,245,4,3215-5245,dep.alexmanente@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,35.0,13
112,111,74553,1718.0,Titular,207,5830579,JOSÉ CARLOS ALELUIA COSTA,JOSÉ CARLOS ALELUIA,http://www.camara.gov.br/internet/deputado/bandep/74553.jpg,masculino,BA,DEM,854,4,3215-5854,dep.josecarlosaleluia@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,41.0,7
113,112,133373,2077.0,Titular,496,5830634,MARCO AURÉLIO SPALL MAIA,MARCO MAIA,http://www.camara.gov.br/internet/deputado/bandep/133373.jpg,masculino,RS,PT,28,1,3215-5964,dep.marcomaia@camara.gov.br,"{u'titular': None, u'suplente': None}",19.0,16.0,31
114,113,74371,1960.0,Titular,425,5830485,RUBENS OTONI GOMIDE,RUBENS OTONI,http://www.camara.gov.br/internet/deputado/bandep/74371.jpg,masculino,GO,PT,501,4,3215-5501,dep.rubensotoni@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,33.0,15
115,114,178876,3070.0,Titular,417,5830585,CELIO ANTONIO DA SILVEIRA,CÉLIO SILVEIRA,http://www.camara.gov.br/internet/deputado/bandep/178876.jpg,masculino,GO,PSDB,565,3,3215-5565,dep.celiosilveira@camara.gov.br,"{u'titular': None, u'suplente': None}",11.0,39.0,9
116,115,132056,2531.0,Titular,373,5830342,PAULO SALIM MALUF,PAULO MALUF,http://www.camara.gov.br/internet/deputado/bandep/132056.jpg,masculino,SP,PP,512,4,3215-5512,dep.paulomaluf@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,22.0,24
117,116,178948,3054.0,Titular,122,5830685,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,BETO ROSADO,http://www.camara.gov.br/internet/deputado/bandep/178948.jpg,masculino,RN,PP,840,4,3215-5840,dep.betorosado@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,21.0,25
118,117,141483,2420.0,Titular,45,5830734,LINDOMAR BARBOSA ALVES,LINDOMAR GARÇON,http://www.camara.gov.br/internet/deputado/bandep/141483.jpg,masculino,RO,PRB,548,4,3215-5548,dep.lindomargarcon@camara.gov.br,"{u'titular': None, u'suplente': None}",12.0,34.0,14
119,118,178994,3086.0,Titular,61,5830311,DULCE FERREIRA PAGANI MIRANDA,DULCE MIRANDA,http://www.camara.gov.br/internet/deputado/bandep/178994.jpg,feminino,TO,PMDB,530,4,3215-5530,dep.dulcemiranda@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,27.0,18
120,119,160633,2838.0,Titular,436,5830643,LUIZ HENRIQUE MANDETTA,MANDETTA,http://www.camara.gov.br/internet/deputado/bandep/160633.jpg,masculino,MS,DEM,577,3,3215-5577,dep.mandetta@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,36.0,12
121,120,178941,3098.0,Titular,303,5830620,EZEQUIEL CORTAZ TEIXEIRA,EZEQUIEL TEIXEIRA,http://www.camara.gov.br/internet/deputado/bandep/178941.jpg,masculino,RJ,PODE,210,4,3215-5210,dep.ezequielteixeira@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,9.0,7
122,121,74784,3611.0,Titular,371,5830288,LUIZA ERUNDINA DE SOUSA,LUIZA ERUNDINA,http://www.camara.gov.br/internet/deputado/bandep/74784.jpg,feminino,SP,PSOL,620,4,3215-5620,dep.luizaerundina@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,39.0,9
123,122,160559,2858.0,Titular,486,5830689,ALCEU MOREIRA DA SILVA,ALCEU MOREIRA,http://www.camara.gov.br/internet/deputado/bandep/160559.jpg,masculino,RS,PMDB,238,4,3215-5238,dep.alceumoreira@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,39.0,8
124,123,178995,3748.0,Titular,17,5830334,ANTONIO ROBERTO RODRIGUES GÓES DA SILVA,ROBERTO GÓES,http://www.camara.gov.br/internet/deputado/bandep/178995.jpg,masculino,AP,PDT,462,4,3215-5462,dep.robertogoes@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,14.0,31
125,124,178854,3091.0,Titular,198,5830666,ELMAR JOSE VIEIRA NASCIMENTO,ELMAR NASCIMENTO,http://www.camara.gov.br/internet/deputado/bandep/178854.jpg,masculino,BA,DEM,935,4,3215-5935,dep.elmarnascimento@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,37.0,10
126,125,74017,3322.0,Titular,323,5830551,PAULO FERNANDO FEIJO TORRES,PAULO FEIJÓ,http://www.camara.gov.br/internet/deputado/bandep/74017.jpg,masculino,RJ,PR,336,4,3215-5336,dep.paulofeijo@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,41.0,7
127,126,73930,1141.0,Titular,23,5830474,WLADIMIR AFONSO DA COSTA RABELO,WLADIMIR COSTA,http://www.camara.gov.br/internet/deputado/bandep/73930.jpg,masculino,PA,SD,343,4,3215-5343,dep.wladimircosta@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,16.0,29
128,127,74212,3122.0,Titular,87,5830497,ANÍBAL FERREIRA GOMES,ANÍBAL GOMES,http://www.camara.gov.br/internet/deputado/bandep/74212.jpg,masculino,CE,PMDB,731,4,3215-5731,dep.anibalgomes@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,14.0,34
129,128,160641,2675.0,Titular,15,5830503,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PROFESSORA MARCIVANIA,http://www.camara.gov.br/internet/deputado/bandep/160641.jpg,feminino,AP,PCdoB,338,4,3215-5338,dep.professoramarcivania@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,41.0,6
130,129,141470,2442.0,Titular,103,5830597,JOSÉ NOBRE GUIMARÃES,JOSÉ GUIMARÃES,http://www.camara.gov.br/internet/deputado/bandep/141470.jpg,masculino,CE,PT,306,4,3215-5306,dep.joseguimaraes@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,28.0,19
131,130,73437,1799.0,Titular,340,5830451,PAULO ROBERTO GOMES MANSUR,BETO MANSUR,http://www.camara.gov.br/internet/deputado/bandep/73437.jpg,masculino,SP,PRB,616,4,3215-5616,dep.betomansur@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,34.0,13
132,131,73586,3682.0,Titular,250,5830574,JÚLIO CÉSAR DELGADO,JÚLIO DELGADO,http://www.camara.gov.br/internet/deputado/bandep/73586.jpg,masculino,MG,PSB,323,4,3215-5323,dep.juliodelgado@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,35.0,13
133,132,178861,3752.0,Titular,216,5830566,RONALDO CARLETTO,RONALDO CARLETTO,http://www.camara.gov.br/internet/deputado/bandep/178861.jpg,masculino,BA,PP,262,4,3215-5262,dep.ronaldocarletto@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,39.0,8
134,133,178828,3094.0,Titular,354,5830649,EVANDRO HERRERA BERTONE GUSSI,EVANDRO GUSSI,http://www.camara.gov.br/internet/deputado/bandep/178828.jpg,masculino,SP,PV,433,4,3215-5433,dep.evandrogussi@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,17.0,28
135,134,178983,3717.0,Titular,370,5830720,MARCIO LUIZ ALVINO DE SOUZA,MARCIO ALVINO,http://www.camara.gov.br/internet/deputado/bandep/178983.jpg,masculino,SP,PR,331,4,3215-5331,dep.marcioalvino@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,46.0,2
136,135,74253,1504.0,Titular,308,5830411,JULIO LUIZ BAPTISTA LOPES,JULIO LOPES,http://www.camara.gov.br/internet/deputado/bandep/74253.jpg,masculino,RJ,PP,544,4,3215-5544,dep.juliolopes@camara.gov.br,"{u'titular': None, u'suplente': None}",18.0,39.0,9
137,136,133439,2083.0,Titular,89,5830614,ANDRÉ PEIXOTO FIGUEIREDO LIMA,ANDRÉ FIGUEIREDO,http://www.camara.gov.br/internet/deputado/bandep/133439.jpg,masculino,CE,PDT,940,4,3215-5940,dep.andrefigueiredo@camara.gov.br,"{u'titular': None, u'suplente': None}",14.0,43.0,4
138,137,178991,3547.0,Titular,390,5830603,SERGIO BAVINI,SÉRGIO REIS,http://www.camara.gov.br/internet/deputado/bandep/178991.jpg,masculino,SP,PRB,213,4,3215-5213,dep.sergioreis@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,18.0,30
139,138,74787,3614.0,Titular,374,5830520,MILTON ANTONIO CASQUEL MONTI,MILTON MONTI,http://www.camara.gov.br/internet/deputado/bandep/74787.jpg,masculino,SP,PR,328,4,3215-5328,dep.miltonmonti@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,35.0,10
140,139,160673,2863.0,Titular,502,5830766,GIOVANI CHERINI,GIOVANI CHERINI,http://www.camara.gov.br/internet/deputado/bandep/160673.jpg,masculino,RS,PR,468,3,3215-5468,dep.giovanicherini@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,0.0,45
141,140,160517,2774.0,Titular,280,5830457,PAULO ROBERTO FOLETTO,PAULO FOLETTO,http://www.camara.gov.br/internet/deputado/bandep/160517.jpg,masculino,ES,PSB,839,4,3215-5839,dep.paulofoletto@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,30.0,15
142,141,74665,3230.0,Titular,240,5830468,JAIME MARTINS FILHO,JAIME MARTINS,http://www.camara.gov.br/internet/deputado/bandep/74665.jpg,masculino,MG,PSD,904,4,3215-5904,dep.jaimemartins@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,33.0,15
143,142,178872,3264.0,Titular,276,5830706,GIVALDO VIEIRA DA SILVA,GIVALDO VIEIRA,http://www.camara.gov.br/internet/deputado/bandep/178872.jpg,masculino,ES,PT,805,4,3215-5805,dep.givaldovieira@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,24.0,24
144,143,74571,3564.0,Titular,209,5830712,NELSON VICENTE PORTELA PELLEGRINO,NELSON PELLEGRINO,http://www.camara.gov.br/internet/deputado/bandep/74571.jpg,masculino,BA,PT,826,4,3215-5826,dep.nelsonpellegrino@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,39.0,8
145,144,74140,1355.0,Titular,197,5830760,JOSÉ CARLOS LEÃO DE ARAÚJO,JOSÉ CARLOS ARAÚJO,http://www.camara.gov.br/internet/deputado/bandep/74140.jpg,masculino,BA,PR,232,4,3215-5232,dep.josecarlosaraujo@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,33.0,13
146,145,74270,1568.0,Titular,360,5830514,GILBERTO NASCIMENTO SILVA,GILBERTO NASCIMENTO,http://www.camara.gov.br/internet/deputado/bandep/74270.jpg,masculino,SP,PSC,834,4,3215-5834,dep.gilbertonascimento@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,42.0,6
147,146,178946,3765.0,Titular,328,5830365,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,http://www.camara.gov.br/internet/deputado/bandep/178946.jpg,feminino,RJ,PMDB,352,4,3215-5352,dep.sorayasantos@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,38.0,9
148,147,73701,1310.0,Titular,291,5830660,BENEDITA SOUZA DA SILVA SAMPAIO,BENEDITA DA SILVA,http://www.camara.gov.br/internet/deputado/bandep/73701.jpg,feminino,RJ,PT,330,4,3215-5330,dep.beneditadasilva@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,30.0,18
149,148,178911,3764.0,Titular,35,5830394,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,http://www.camara.gov.br/internet/deputado/bandep/178911.jpg,feminino,PA,PMDB,440,4,3215-5440,dep.simonemorgado@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,33.0,15
150,149,178934,3771.0,Titular,470,5830417,ANTONIO WANDSCHEER,TONINHO WANDSCHEER,http://www.camara.gov.br/internet/deputado/bandep/178934.jpg,masculino,PR,PROS,902,4,3215-5902,dep.toninhowandscheer@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,38.0,7
151,150,178986,3735.0,Titular,382,5830749,NILTO IGNACIO TATTO,NILTO TATTO,http://www.camara.gov.br/internet/deputado/bandep/178986.jpg,masculino,SP,PT,267,3,3215-5267,dep.niltotatto@camara.gov.br,"{u'titular': None, u'suplente': None}",8.0,38.0,10
152,151,74060,1339.0,Titular,188,5830345,DANIEL GOMES DE ALMEIDA,DANIEL ALMEIDA,http://www.camara.gov.br/internet/deputado/bandep/74060.jpg,masculino,BA,PCdoB,317,4,3215-5317,dep.danielalmeida@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,26.0,20
153,152,171623,2979.0,Titular,178,5830680,FABIO DE ALMEIDA REIS,FABIO REIS,http://www.camara.gov.br/internet/deputado/bandep/171623.jpg,masculino,SE,PMDB,456,4,3215-5456,dep.fabioreis@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,41.0,6
154,153,178886,3699.0,Titular,79,5830606,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,JUSCELINO FILHO,http://www.camara.gov.br/internet/deputado/bandep/178886.jpg,masculino,MA,DEM,370,3,3215-5370,dep.juscelinofilho@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,37.0,9
155,154,178962,3067.0,Titular,492,5830302,ANTONIO CARLOS GOMES DA SILVA,CARLOS GOMES,http://www.camara.gov.br/internet/deputado/bandep/178962.jpg,masculino,RS,PRB,285,3,3215-5285,dep.carlosgomes@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,41.0,7
156,155,178942,3720.0,Titular,319,5830700,MARCO ANTONIO NEVES CABRAL,MARCO ANTÔNIO CABRAL,http://www.camara.gov.br/internet/deputado/bandep/178942.jpg,masculino,RJ,PMDB,585,3,3215-5585,dep.marcoantoniocabral@camara.gov.br,"{u'titular': None, u'suplente': None}",15.0,33.0,12
157,156,186775,0.0,Titular,544,5830835,FRANKLIN ROBERTO DE LIMA SOUZA,FRANKLIN,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg,masculino,MG,PP,627,4,3215-5627,dep.franklin@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,11.0,13
159,157,141450,2397.0,Titular,306,5830320,HUGO LEAL MELO DA SILVA,HUGO LEAL,http://www.camara.gov.br/internet/deputado/bandep/141450.jpg,masculino,RJ,PSB,631,4,3215-5631,dep.hugoleal@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,33.0,14
160,158,160553,2737.0,Titular,189,5830609,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,ANTONIO BRITO,http://www.camara.gov.br/internet/deputado/bandep/160553.jpg,masculino,BA,PSD,479,3,3215-5479,dep.antoniobrito@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,29.0,16
161,159,74374,1445.0,Titular,435,5830512,GERALDO RESENDE PEREIRA,GERALDO RESENDE,http://www.camara.gov.br/internet/deputado/bandep/74374.jpg,masculino,MS,PSDB,905,4,3215-5905,dep.geraldoresende@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,43.0,4
162,160,141398,2520.0,Titular,398,5830561,CARLOS ALBERTO ROLIM ZARATTINI,CARLOS ZARATTINI,http://www.camara.gov.br/internet/deputado/bandep/141398.jpg,masculino,SP,PT,808,4,3215-5808,dep.carloszarattini@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,7.0,38
163,161,178961,3763.0,Titular,8,5830489,SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,http://www.camara.gov.br/internet/deputado/bandep/178961.jpg,feminino,RR,PSDB,246,4,3215-5246,dep.sheridan@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,39.0,9
164,162,74351,3491.0,Titular,30,5830632,JOSUÉ BENGTSON,JOSUÉ BENGTSON,http://www.camara.gov.br/internet/deputado/bandep/74351.jpg,masculino,PA,PTB,505,4,3215-5505,dep.josuebengtson@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,36.0,11
165,163,178951,3742.0,Titular,123,5830775,RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,http://www.camara.gov.br/internet/deputado/bandep/178951.jpg,masculino,RN,PSB,737,4,3215-5737,dep.rafaelmotta@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,30.0,17
166,164,141518,2532.0,Titular,372,5830369,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,http://www.camara.gov.br/internet/deputado/bandep/141518.jpg,masculino,SP,SD,217,4,3215-5217,dep.paulopereiradasilva@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,20.0,26
167,165,160558,2813.0,Titular,380,5830701,PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE,http://www.camara.gov.br/internet/deputado/bandep/160558.jpg,masculino,SP,PR,416,4,3215-5416,dep.paulofreire@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,25.0,22
168,166,160599,2755.0,Titular,231,5830297,DIMAS FABIANO TOLEDO JÚNIOR,DIMAS FABIANO,http://www.camara.gov.br/internet/deputado/bandep/160599.jpg,masculino,MG,PP,325,4,3215-5325,dep.dimasfabiano@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,44.0,4
169,167,160649,2850.0,Titular,471,5830346,ESPERIDIÃO AMIN HELOU FILHO,ESPERIDIÃO AMIN,http://www.camara.gov.br/internet/deputado/bandep/160649.jpg,masculino,SC,PP,252,4,3215-5252,dep.esperidiaoamin@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,40.0,8
170,168,178836,3036.0,Titular,53,5830326,ALAN RICK MIRANDA,ALAN RICK,http://www.camara.gov.br/internet/deputado/bandep/178836.jpg,masculino,AC,DEM,650,4,3215-5650,dep.alanrick@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,30.0,18
171,169,143632,2701.0,Titular,97,5830652,DOMINGOS GOMES DE AGUIAR NETO,DOMINGOS NETO,http://www.camara.gov.br/internet/deputado/bandep/143632.jpg,masculino,CE,PSD,546,4,3215-5546,dep.domingosneto@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,28.0,20
172,170,141503,2478.0,Titular,246,5830724,MARIA DO SOCORRO JÔ MORAES,JÔ MORAES,http://www.camara.gov.br/internet/deputado/bandep/141503.jpg,feminino,MG,PCdoB,322,4,3215-5322,dep.jomoraes@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,37.0,10
173,171,166401,2936.0,Titular,405,5830675,NILSON APARECIDO LEITÃO,NILSON LEITÃO,http://www.camara.gov.br/internet/deputado/bandep/166401.jpg,masculino,MT,PSDB,825,4,3215-5825,dep.nilsonleitao@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,32.0,16
174,172,74439,3387.0,Titular,164,5830303,WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,http://www.camara.gov.br/internet/deputado/bandep/74439.jpg,masculino,PE,PDT,936,4,3215-5936,dep.wolneyqueiroz@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,32.0,15
175,173,160602,2678.0,Titular,18,5830744,ARNALDO JORDY FIGUEIREDO,ARNALDO JORDY,http://www.camara.gov.br/internet/deputado/bandep/160602.jpg,masculino,PA,PPS,506,4,3215-5506,dep.arnaldojordy@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,35.0,13
176,174,74079,3260.0,Titular,26,5830495,JOSÉ BENITO PRIANTE JÚNIOR,JOSÉ PRIANTE,http://www.camara.gov.br/internet/deputado/bandep/74079.jpg,masculino,PA,PMDB,752,4,3215-5752,dep.josepriante@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,26.0,21
177,175,73424,1345.0,Titular,327,5830589,SIMÃO SESSIM,SIMÃO SESSIM,http://www.camara.gov.br/internet/deputado/bandep/73424.jpg,masculino,RJ,PP,709,4,3215-5709,dep.simaosessim@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,40.0,8
178,176,160596,2834.0,Titular,423,5830638,HEULER ABREU CRUVINEL,HEULER CRUVINEL,http://www.camara.gov.br/internet/deputado/bandep/160596.jpg,masculino,GO,PSD,536,4,3215-5536,dep.heulercruvinel@camara.gov.br,"{u'titular': None, u'suplente': None}",52.0,35.0,13
179,177,178987,3737.0,Titular,386,5830446,ORLANDO SILVA DE JESUS JUNIOR,ORLANDO SILVA,http://www.camara.gov.br/internet/deputado/bandep/178987.jpg,masculino,SP,PCdoB,923,4,3215-5923,dep.orlandosilva@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,33.0,14
180,178,160628,2723.0,Titular,153,5830532,LUCIANA BARBOSA DE OLIVEIRA SANTOS,LUCIANA SANTOS,http://www.camara.gov.br/internet/deputado/bandep/160628.jpg,feminino,PE,PCdoB,524,4,3215-5524,dep.lucianasantos@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,28.0,18
181,179,178895,3731.0,Titular,245,5830681,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,http://www.camara.gov.br/internet/deputado/bandep/178895.jpg,masculino,MG,DEM,721,4,3215-5721,dep.misaelvarella@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,33.0,15
182,180,152610,2615.0,Titular,387,5830289,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,http://www.camara.gov.br/internet/deputado/bandep/152610.jpg,masculino,SP,PRB,946,4,3215-5946,dep.robertoalves@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,45.0,2
183,181,178912,3739.0,Titular,135,5830538,PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,http://www.camara.gov.br/internet/deputado/bandep/178912.jpg,masculino,PB,PSDB,611,4,3215-5611,dep.pedrocunhalima@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,40.0,6
184,182,160556,2764.0,Titular,259,5830781,JOÃO CARLOS SIQUEIRA,PADRE JOÃO,http://www.camara.gov.br/internet/deputado/bandep/160556.jpg,masculino,MG,PT,743,4,3215-5743,dep.padrejoao@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,35.0,13
